VCD info: dumpfile tb_sys_picorv32.vcd opened for output.
ifetch 0x00000000: 0x00000117
ifetch 0x00000004: 0x40010113
ifetch 0x00000008: 0x0080006f
ifetch 0x00000010: 0xfe010113
ifetch 0x00000014: 0x00812e23
ifetch 0x00000018: 0x02010413
write  0x000003fc: 0xxxxxxxxx (wstrb=1111)
ifetch 0x0000001c: 0xfe042623
ifetch 0x00000020: 0xfec42783
write  0x000003ec: 0x00000000 (wstrb=1111)
ifetch 0x00000024: 0x00178713
read   0x000003ec: 0x00000000
ifetch 0x00000028: 0xfee42623
ifetch 0x0000002c: 0x00008737
write  0x000003ec: 0x00000001 (wstrb=1111)
ifetch 0x00000030: 0x0ff7f793
ifetch 0x00000034: 0x00f70023
ifetch 0x00000038: 0x00000013
write  0x00008000: 0x00000000 (wstrb=0001)
ifetch 0x0000003c: 0x000087b7
ifetch 0x00000040: 0x00478793
ifetch 0x00000044: 0x0007c783
ifetch 0x00000048: 0x0ff7f793
read   0x00008004: 0x00000000
ifetch 0x0000004c: 0x0017f793
ifetch 0x00000050: 0xfe0796e3
ifetch 0x00000054: 0xfcdff06f
ifetch 0x00000020: 0xfec42783
ifetch 0x00000024: 0x00178713
read   0x000003ec: 0x00000001
ifetch 0x00000028: 0xfee42623
ifetch 0x0000002c: 0x00008737
write  0x000003ec: 0x00000002 (wstrb=1111)
ifetch 0x00000030: 0x0ff7f793
ifetch 0x00000034: 0x00f70023
ifetch 0x00000038: 0x00000013
write  0x00008000: 0x01010101 (wstrb=0001)
ifetch 0x0000003c: 0x000087b7
ifetch 0x00000040: 0x00478793
ifetch 0x00000044: 0x0007c783
ifetch 0x00000048: 0x0ff7f793
read   0x00008004: 0x00000000
ifetch 0x0000004c: 0x0017f793
ifetch 0x00000050: 0xfe0796e3
ifetch 0x00000054: 0xfcdff06f
ifetch 0x00000020: 0xfec42783
ifetch 0x00000024: 0x00178713
read   0x000003ec: 0x00000002
ifetch 0x00000028: 0xfee42623
ifetch 0x0000002c: 0x00008737
write  0x000003ec: 0x00000003 (wstrb=1111)
ifetch 0x00000030: 0x0ff7f793
ifetch 0x00000034: 0x00f70023
ifetch 0x00000038: 0x00000013
write  0x00008000: 0x02020202 (wstrb=0001)
ifetch 0x0000003c: 0x000087b7
ifetch 0x00000040: 0x00478793
ifetch 0x00000044: 0x0007c783
ifetch 0x00000048: 0x0ff7f793
read   0x00008004: 0x00000000
ifetch 0x0000004c: 0x0017f793
ifetch 0x00000050: 0xfe0796e3
ifetch 0x00000054: 0xfcdff06f
ifetch 0x00000020: 0xfec42783
ifetch 0x00000024: 0x00178713
read   0x000003ec: 0x00000003
ifetch 0x00000028: 0xfee42623
ifetch 0x0000002c: 0x00008737
write  0x000003ec: 0x00000004 (wstrb=1111)
ifetch 0x00000030: 0x0ff7f793
ifetch 0x00000034: 0x00f70023
ifetch 0x00000038: 0x00000013
write  0x00008000: 0x03030303 (wstrb=0001)
ifetch 0x0000003c: 0x000087b7
ifetch 0x00000040: 0x00478793
ifetch 0x00000044: 0x0007c783
ifetch 0x00000048: 0x0ff7f793
read   0x00008004: 0x00000000
ifetch 0x0000004c: 0x0017f793
ifetch 0x00000050: 0xfe0796e3
ifetch 0x00000054: 0xfcdff06f
ifetch 0x00000020: 0xfec42783
ifetch 0x00000024: 0x00178713
read   0x000003ec: 0x00000004
ifetch 0x00000028: 0xfee42623
ifetch 0x0000002c: 0x00008737
write  0x000003ec: 0x00000005 (wstrb=1111)
ifetch 0x00000030: 0x0ff7f793
ifetch 0x00000034: 0x00f70023
ifetch 0x00000038: 0x00000013
write  0x00008000: 0x04040404 (wstrb=0001)
ifetch 0x0000003c: 0x000087b7
